tray,coordinate,temperature,replicate,DAS
D.7,e3,6C,rep3,21
A.9,d3,6C,rep1,0
A.9,d3,6C,rep1,1
A.9,d3,6C,rep1,2
A.9,d3,6C,rep1,3
A.9,d3,6C,rep1,4
A.9,d3,6C,rep1,5
A.9,d3,6C,rep1,6
A.9,d3,6C,rep1,7
A.9,d3,6C,rep1,8
A.9,d3,6C,rep1,9
A.9,d3,6C,rep1,10
A.9,d3,6C,rep1,11
A.9,d3,6C,rep1,12
A.9,d3,6C,rep1,13
A.9,d3,6C,rep1,14
A.9,d3,6C,rep1,15
A.9,d3,6C,rep1,16
A.9,d3,6C,rep1,17
A.9,d3,6C,rep1,18
A.9,d3,6C,rep1,19
A.9,d3,6C,rep1,20
A.9,d3,6C,rep1,21
C.8,b5,16C,rep1,0
C.8,b5,16C,rep1,1
C.8,b5,16C,rep1,2
C.8,b5,16C,rep1,3
C.8,b5,16C,rep1,4
C.8,b5,16C,rep1,5
C.8,b5,16C,rep1,6
C.8,b5,16C,rep1,7
C.8,b5,16C,rep1,8
C.8,b5,16C,rep1,9
C.8,b5,16C,rep1,10
C.8,b5,16C,rep1,11
C.8,b5,16C,rep1,12
C.8,b5,16C,rep1,13
C.8,b5,16C,rep1,14
C.8,b5,16C,rep1,15
C.8,b5,16C,rep1,16
C.8,b5,16C,rep1,17
C.8,b5,16C,rep1,18
C.8,b5,16C,rep1,19
C.8,b5,16C,rep1,20
C.8,b5,16C,rep1,21
A.3,d1,6C,rep3,4
A.3,d1,6C,rep3,5
A.3,d1,6C,rep3,6
A.3,d1,6C,rep3,7
A.3,d1,6C,rep3,8
A.3,d1,6C,rep3,9
A.9,b1,6C,rep3,0
A.9,b1,6C,rep3,1
A.9,b1,6C,rep3,2
A.9,b1,6C,rep3,3
A.9,b1,6C,rep3,4
A.9,b1,6C,rep3,5
A.9,b1,6C,rep3,6
A.9,b1,6C,rep3,7
A.9,b1,6C,rep3,8
A.9,b1,6C,rep3,9
A.9,b1,6C,rep3,10
A.9,b1,6C,rep3,11
A.9,b1,6C,rep3,12
A.9,b1,6C,rep3,13
A.9,b1,6C,rep3,14
A.9,b1,6C,rep3,15
A.9,b1,6C,rep3,16
A.9,b1,6C,rep3,17
A.9,b1,6C,rep3,18
A.9,b1,6C,rep3,19
A.9,b1,6C,rep3,20
A.9,b1,6C,rep3,21
C.6,d1,6C,rep3,0
C.6,d1,6C,rep3,1
C.6,d1,6C,rep3,2
C.6,d1,6C,rep3,3
C.6,d1,6C,rep3,4
C.6,d1,6C,rep3,5
C.6,d1,6C,rep3,6
C.6,d1,6C,rep3,7
C.6,d1,6C,rep3,8
C.6,d1,6C,rep3,9
C.6,d1,6C,rep3,10
C.6,d1,6C,rep3,11
C.6,d1,6C,rep3,12
C.6,d1,6C,rep3,13
C.6,d1,6C,rep3,14
C.6,d1,6C,rep3,15
C.6,d1,6C,rep3,16
C.6,d1,6C,rep3,17
C.6,d1,6C,rep3,18
C.6,d1,6C,rep3,19
C.6,d1,6C,rep3,20
C.6,d1,6C,rep3,21
C.4,b7,6C,rep2,0
C.4,b7,6C,rep2,1
C.4,b7,6C,rep2,2
C.4,b7,6C,rep2,3
C.4,b7,6C,rep2,4
C.4,b7,6C,rep2,5
C.4,b7,6C,rep2,6
C.4,b7,6C,rep2,7
C.4,b7,6C,rep2,8
C.4,b7,6C,rep2,9
C.4,b7,6C,rep2,10
C.4,b7,6C,rep2,11
C.4,b7,6C,rep2,12
C.4,b7,6C,rep2,13
C.4,b7,6C,rep2,14
C.4,b7,6C,rep2,15
C.4,b7,6C,rep2,16
C.4,b7,6C,rep2,17
C.4,b7,6C,rep2,18
C.4,b7,6C,rep2,19
C.4,b7,6C,rep2,20
C.4,b7,6C,rep2,21
A.2,d7,6C,rep3,0
A.2,d7,6C,rep3,1
A.2,d7,6C,rep3,2
A.2,d7,6C,rep3,3
A.2,d7,6C,rep3,4
A.2,d7,6C,rep3,5
A.2,d7,6C,rep3,6
A.2,d7,6C,rep3,7
A.2,d7,6C,rep3,8
A.2,d7,6C,rep3,9
A.2,d7,6C,rep3,10
A.2,d7,6C,rep3,11
A.2,d7,6C,rep3,12
A.2,d7,6C,rep3,13
A.2,d7,6C,rep3,14
A.2,d7,6C,rep3,15
A.2,d7,6C,rep3,16
A.2,d7,6C,rep3,17
A.2,d7,6C,rep3,18
A.2,d7,6C,rep3,19
A.2,d7,6C,rep3,20
A.2,d7,6C,rep3,21
B.1,b6,6C,rep3,0
B.1,b6,6C,rep3,1
B.1,b6,6C,rep3,2
B.1,b6,6C,rep3,3
B.1,b6,6C,rep3,4
B.1,b6,6C,rep3,5
B.1,b6,6C,rep3,6
B.1,b6,6C,rep3,7
B.1,b6,6C,rep3,8
B.1,b6,6C,rep3,9
B.1,b6,6C,rep3,10
B.1,b6,6C,rep3,11
B.1,b6,6C,rep3,12
B.1,b6,6C,rep3,13
B.1,b6,6C,rep3,14
B.1,b6,6C,rep3,15
B.1,b6,6C,rep3,16
