tray,coordinate,temperature,replicate,DAS
A.7,b2,16C,rep2,13
A.7,b2,16C,rep2,14
A.7,b2,16C,rep2,15
A.7,b2,16C,rep2,16
A.7,b2,16C,rep2,17
A.7,b2,16C,rep2,18
A.7,b2,16C,rep2,19
A.7,b2,16C,rep2,20
A.7,b2,16C,rep2,21
D.8,b3,16C,rep3,0
D.8,b3,16C,rep3,1
D.8,b3,16C,rep3,2
D.8,b3,16C,rep3,3
D.8,b3,16C,rep3,4
D.8,b3,16C,rep3,5
D.8,b3,16C,rep3,6
D.8,b3,16C,rep3,7
D.8,b3,16C,rep3,8
D.8,b3,16C,rep3,9
C.8,d7,6C,rep3,0
C.8,d7,6C,rep3,1
C.8,d7,6C,rep3,2
C.8,d7,6C,rep3,3
C.8,d7,6C,rep3,4
C.8,d7,6C,rep3,5
C.8,d7,6C,rep3,6
C.8,d7,6C,rep3,7
C.8,d7,6C,rep3,8
C.8,d7,6C,rep3,9
C.8,d7,6C,rep3,10
C.8,d7,6C,rep3,11
C.8,d7,6C,rep3,12
C.9,e4,6C,rep3,0
C.9,e4,6C,rep3,1
C.9,e4,6C,rep3,2
C.9,e4,6C,rep3,3
C.9,e4,6C,rep3,4
C.9,e4,6C,rep3,5
C.9,e4,6C,rep3,6
C.9,e4,6C,rep3,7
C.9,e4,6C,rep3,8
C.9,e4,6C,rep3,9
C.9,e4,6C,rep3,10
C.9,e4,6C,rep3,11
C.9,e4,6C,rep3,12
C.9,e4,6C,rep3,13
C.9,e4,6C,rep3,14
C.9,e4,6C,rep3,15
C.9,e4,6C,rep3,16
C.9,e4,6C,rep3,17
C.9,e4,6C,rep3,18
C.9,e4,6C,rep3,19
C.9,e4,6C,rep3,20
C.9,e4,6C,rep3,21
B.9,e6,6C,rep3,0
B.9,e6,6C,rep3,1
B.9,e6,6C,rep3,2
B.9,e6,6C,rep3,3
B.9,e6,6C,rep3,4
B.9,e6,6C,rep3,5
B.9,e6,6C,rep3,6
B.9,e6,6C,rep3,7
B.9,e6,6C,rep3,8
B.9,e6,6C,rep3,9
A.5,c4,6C,rep1,0
A.5,c4,6C,rep1,1
A.5,c4,6C,rep1,2
A.5,c4,6C,rep1,3
A.5,c4,6C,rep1,4
A.5,c4,6C,rep1,5
D.3,e1,6C,rep2,0
D.3,e1,6C,rep2,1
D.3,e1,6C,rep2,2
D.3,e1,6C,rep2,3
D.3,e1,6C,rep2,4
D.3,e1,6C,rep2,5
D.3,e1,6C,rep2,6
