"tg_ecotypeid","size","perimeter","length","width"
"8242",0.122,1.329,0.483,0.321
"8247",0.137,1.395,0.498,0.348
"8249",0.1305,1.397,0.5215,0.3175
"8256",0.124,1.339,0.4855,0.324
"8258",0.129,1.3645,0.4995,0.3265
"8259",0.1175,1.305,0.4755,0.3135
"8283",0.1335,1.4075,0.522,0.324
"8306",0.113,1.283,0.455,0.316
"8307",0.123,1.319,0.471,0.332
"8326",0.1295,1.368,0.4945,0.3315
"8334",0.1365,1.4045,0.499,0.3465
"8335",0.134,1.404,0.514,0.331
"8351",0.137,1.432,0.519,0.3345
"8369",0.121,1.327,0.487,0.3155
"8376",0.1315,1.3825,0.5055,0.3295
"8386",0.13,1.362,0.491,0.335
"8387",0.126,1.338,0.476,0.337
"8422",0.131,1.377,0.494,0.337
"8423",0.136,1.411,0.52,0.331
"8426",0.127,1.36,0.498,0.323
"8427",0.127,1.363,0.497,0.324
"9057",0.1245,1.3455,0.4885,0.3235
"9058",0.116,1.305,0.482,0.306
"9321",0.167,1.61,0.602,0.352
"9323",0.151,1.517,0.568,0.338
"9332",0.155,1.536,0.578,0.34
"9336",0.135,1.414,0.518,0.328
"9339",0.149,1.495,0.56,0.337
"9342",0.125,1.354,0.502,0.315
"9343",0.16,1.541,0.568,0.359
"9344",0.139,1.44,0.535,0.329
"9349",0.111,1.284,0.479,0.295
"9351",0.119,1.313,0.476,0.318
"9352",0.132,1.385,0.505,0.331
"9353",0.131,1.393,0.503,0.3295
"9354",0.137,1.44,0.54,0.322
"9355",0.131,1.393,0.517,0.321
"9356",0.144,1.463,0.535,0.341
"9363",0.145,1.484,0.554,0.332
"9367",0.129,1.403,0.53,0.31
"9369",0.125,1.37,0.513,0.309
"9371",0.157,1.536,0.575,0.347
"9378",0.148,1.469,0.537,0.35
"9380",0.136,1.404,0.509,0.339
"9381",0.151,1.513,0.571,0.336
"9382",0.168,1.588,0.592,0.358
"9383",0.147,1.488,0.557,0.335
"9384",0.131,1.392,0.512,0.325
"9385",0.119,1.321,0.488,0.309
"9386",0.16,1.55,0.575,0.353
"9388",0.153,1.516,0.558,0.347
"9390",0.129,1.372,0.501,0.325
"9391",0.123,1.351,0.496,0.313
"9392",0.123,1.341,0.491333333333333,0.316666666666667
"9399",0.14,1.424,0.516,0.344
"9402",0.139,1.422,0.515,0.341
"9404",0.115,1.277,0.46,0.316
"9405",0.131,1.401,0.493,0.335
"9407",0.134,1.414,0.5,0.336
"9408",0.128,1.373,0.492,0.33
"9409",0.151,1.482,0.538,0.356
"9410",0.145,1.463,0.529,0.346
"9411",0.128,1.388,0.506,0.32
"9412",0.117,1.306,0.475,0.312
"9413",0.132,1.384,0.509,0.329
"9416",0.15,1.485,0.546,0.347
"9418",0.129,1.366,0.501,0.326
"9419",0.1185,1.3135,0.481,0.313
"9421",0.134,1.396,0.503,0.335
"9427",0.147,1.482,0.549,0.34
"9433",0.162,1.536,0.557,0.368
"9434",0.141,1.465,0.55,0.325
"9436",0.132,1.402,0.499,0.336
"9437",0.128,1.363,0.4925,0.329
"9442",0.174,1.628,0.6025,0.366
"9450",0.1235,1.347,0.4945,0.3165
"9451",0.114,1.291,0.478,0.302
"9452",0.122,1.332,0.493,0.315
"9453",0.127,1.354,0.489,0.331
"9454",0.127,1.354,0.483,0.334
"9455",0.143,1.449,0.531,0.342
"9469",0.14,1.431,0.523,0.34
"9470",0.132,1.405,0.522,0.321
"9471",0.12,1.332,0.497,0.305
"9472",0.126,1.36,0.502,0.319
"9476",0.188,1.678,0.624,0.38
"9481",0.131,1.387,0.509,0.327
"9482",0.131,1.393,0.509,0.326
